event_id,player_id,controller_id,controller_serial,event_date,primary_issue,issue_confidence,right_stick_drift_score,left_stick_drift_score,disconnect_frequency_score,battery_health_percent,session_hours_l30d,firmware_version,platform_version
TEL-001320,PLAYER151,CTRL-0170,ZCT2E-E4554492,2024-05-20,NONE,LOW,0.13,0.02,0.06,75,101.3,3.02,1.06
TEL-001321,PLAYER151,CTRL-0171,ZCT2E-F2295356,2024-04-18,NONE,LOW,0.13,0.00,0.01,82,66.5,3.02,1.06
TEL-001322,PLAYER152,CTRL-0172,ZCT2E-W7796448,2024-05-21,DISCONNECT_FIRMWARE,MEDIUM,0.09,0.00,0.87,82,56.5,3.01,1.06
TEL-001323,PLAYER153,CTRL-0173,ZCT2E-W8117262,2024-04-13,BATTERY_DEGRADATION,MEDIUM,0.37,0.18,0.13,63,74.0,3.02,1.06
TEL-001324,PLAYER154,CTRL-0174,ZCT1W-M6628280,2024-05-17,RIGHT_STICK_DRIFT,MEDIUM,0.66,0.46,0.12,91,118.9,3.02,1.06
TEL-001325,PLAYER155,CTRL-0175,ZCT1W-C4555258,2024-06-04,NONE,LOW,0.20,0.14,0.06,67,32.7,3.02,1.06
TEL-001326,PLAYER156,CTRL-0176,ZCT1W-W1543024,2024-04-29,DISCONNECT_FIRMWARE,MEDIUM,0.29,0.23,0.69,88,104.9,3.00,1.06
TEL-001327,PLAYER157,CTRL-0177,ZCT1W-U9116934,2024-05-04,RIGHT_STICK_DRIFT,MEDIUM,0.86,0.68,0.19,94,66.6,3.02,1.06
TEL-001328,PLAYER158,CTRL-0178,ZCT2E-A6983579,2024-05-15,NONE,LOW,0.05,0.00,0.07,80,51.6,3.02,1.06
TEL-001329,PLAYER159,CTRL-0179,ZCT1W-L7553873,2024-06-01,RIGHT_STICK_DRIFT,HIGH,0.93,0.85,0.15,69,59.8,3.02,1.06
TEL-001330,PLAYER160,CTRL-0180,ZCT1W-L7833134,2024-05-26,NONE,LOW,0.22,0.14,0.11,81,110.2,3.02,1.06
TEL-001331,PLAYER161,CTRL-0181,ZCT1W-A7410771,2024-06-04,RIGHT_STICK_MODULE,MEDIUM,0.62,0.50,0.22,67,91.3,3.02,1.06
TEL-001332,PLAYER162,CTRL-0182,ZCT1W-K3704873,2024-05-30,RIGHT_STICK_MODULE,MEDIUM,0.50,0.33,0.16,73,78.9,3.02,1.06
TEL-001333,PLAYER163,CTRL-0183,ZCT2E-C2565160,2024-05-25,NONE,LOW,0.12,0.01,0.06,71,80.8,3.02,1.06
TEL-001334,PLAYER164,CTRL-0184,ZCT1W-X3363282,2024-06-04,RIGHT_STICK_DRIFT,MEDIUM,0.77,0.72,0.15,75,46.0,3.02,1.06
TEL-001335,PLAYER165,CTRL-0185,ZCT2E-Q3201130,2024-05-23,RIGHT_STICK_DRIFT,MEDIUM,0.85,0.66,0.11,89,32.7,3.02,1.06
TEL-001336,PLAYER166,CTRL-0186,ZCT2E-B7503423,2024-04-24,NONE,LOW,0.06,0.00,0.06,79,110.1,3.02,1.06
TEL-001337,PLAYER167,CTRL-0187,ZCT1W-U9347047,2024-05-17,DISCONNECT_FIRMWARE,MEDIUM,0.26,0.10,0.80,95,45.1,2.98,1.06
TEL-001338,PLAYER168,CTRL-0188,ZCT2E-T2462431,2024-05-21,NONE,LOW,0.09,0.00,0.07,89,84.6,3.02,1.06
TEL-001339,PLAYER169,CTRL-0189,ZCT1W-K3709058,2024-06-04,NONE,LOW,0.20,0.05,0.15,74,19.6,3.02,1.06
TEL-001340,PLAYER169,CTRL-0190,ZCT1W-C4006246,2024-06-08,NONE,LOW,0.21,0.02,0.09,76,73.4,3.02,1.06
TEL-001341,PLAYER170,CTRL-0191,ZCT2E-J8416290,2024-05-14,NONE,LOW,0.11,0.02,0.10,77,96.1,3.02,1.06
TEL-001342,PLAYER171,CTRL-0192,ZCT1W-U9191626,2024-05-21,RIGHT_STICK_DRIFT,HIGH,0.73,0.61,0.03,94,37.6,3.02,1.06
TEL-001343,PLAYER172,CTRL-0193,ZCT2E-V3163996,2024-06-02,BATTERY_DEGRADATION,MEDIUM,0.25,0.17,0.11,58,103.0,3.02,1.06
TEL-001344,PLAYER173,CTRL-0194,ZCT2E-M2400738,2024-04-28,DISCONNECT_FIRMWARE,MEDIUM,0.14,0.00,0.72,93,57.0,3.00,1.06
TEL-001345,PLAYER174,CTRL-0195,ZCT2E-X1715977,2024-04-09,DISCONNECT_FIRMWARE,MEDIUM,0.25,0.16,0.64,84,113.3,2.98,1.06
TEL-001346,PLAYER175,CTRL-0196,ZCT1W-T1133260,2024-05-13,BATTERY_DEGRADATION,MEDIUM,0.39,0.33,0.16,69,79.3,3.02,1.06
TEL-001347,PLAYER176,CTRL-0197,ZCT2E-F7698813,2024-05-19,RIGHT_STICK_DRIFT,MEDIUM,0.67,0.59,0.04,95,72.5,3.02,1.06
TEL-001348,PLAYER177,CTRL-0198,ZCT2E-X2568722,2024-04-11,NONE,LOW,0.16,0.00,0.04,80,105.1,3.02,1.06
TEL-001349,PLAYER177,CTRL-0199,ZCT2E-D2439863,2024-05-26,NONE,LOW,0.06,0.00,0.04,82,14.0,3.02,1.06
TEL-001350,PLAYER178,CTRL-0200,ZCT2E-P4346568,2024-04-17,NONE,LOW,0.04,0.00,0.10,76,32.5,3.02,1.06
TEL-001351,PLAYER179,CTRL-0201,ZCT2E-V9158676,2024-06-05,NONE,LOW,0.08,0.00,0.12,79,22.5,3.02,1.06
TEL-001352,PLAYER179,CTRL-0202,ZCT2E-Q1642271,2024-06-04,NONE,LOW,0.12,0.00,0.08,96,111.7,3.02,1.06
TEL-001353,PLAYER180,CTRL-0203,ZCT1W-L1525516,2024-05-24,BATTERY_DEGRADATION,MEDIUM,0.28,0.18,0.22,82,73.1,3.02,1.06
TEL-001354,PLAYER181,CTRL-0204,ZCT2E-P8942495,2024-05-15,RIGHT_STICK_DRIFT,HIGH,0.72,0.58,0.11,76,49.2,3.02,1.06
TEL-001355,PLAYER182,CTRL-0205,ZCT1W-X8095426,2024-05-21,RIGHT_STICK_DRIFT,HIGH,0.71,0.64,0.14,87,17.3,3.02,1.06
TEL-001356,PLAYER183,CTRL-0206,ZCT1W-C5595368,2024-04-22,NONE,LOW,0.09,0.00,0.06,91,108.5,3.02,1.06
TEL-001357,PLAYER184,CTRL-0207,ZCT2E-P9804312,2024-05-06,RIGHT_STICK_DRIFT,HIGH,0.82,0.75,0.19,91,108.5,3.02,1.06
TEL-001358,PLAYER185,CTRL-0208,ZCT1W-C8189612,2024-04-26,NONE,LOW,0.18,0.07,0.02,86,67.3,3.02,1.06
TEL-001359,PLAYER186,CTRL-0209,ZCT1W-M8031349,2024-04-28,BATTERY_DEGRADATION,MEDIUM,0.33,0.18,0.07,54,15.5,3.02,1.06
TEL-001360,PLAYER187,CTRL-0210,ZCT1W-P6950750,2024-05-01,DISCONNECT_FIRMWARE,MEDIUM,0.08,0.00,0.82,87,43.8,3.00,1.06
TEL-001361,PLAYER188,CTRL-0211,ZCT1W-T4331283,2024-04-15,NONE,LOW,0.18,0.01,0.02,69,78.6,3.02,1.06
TEL-001362,PLAYER189,CTRL-0212,ZCT2E-A3525076,2024-05-11,DISCONNECT_FIRMWARE,MEDIUM,0.19,0.02,0.46,69,114.5,3.01,1.06
TEL-001363,PLAYER190,CTRL-0213,ZCT2E-D7818036,2024-05-02,BATTERY_DEGRADATION,MEDIUM,0.35,0.17,0.14,58,113.0,3.02,1.06
TEL-001364,PLAYER191,CTRL-0214,ZCT1W-W8538483,2024-04-29,DISCONNECT_FIRMWARE,MEDIUM,0.27,0.22,0.58,87,73.3,3.00,1.06
TEL-001365,PLAYER192,CTRL-0215,ZCT1W-G8049385,2024-06-02,RIGHT_STICK_MODULE,MEDIUM,0.52,0.35,0.18,66,36.1,3.02,1.06
TEL-001366,PLAYER193,CTRL-0216,ZCT2E-G6839906,2024-04-30,DISCONNECT_FIRMWARE,MEDIUM,0.29,0.10,0.49,76,101.0,3.01,1.06
TEL-001367,PLAYER194,CTRL-0217,ZCT1W-M7103458,2024-04-29,RIGHT_STICK_DRIFT,MEDIUM,0.72,0.57,0.13,74,99.5,3.02,1.06
TEL-001368,PLAYER195,CTRL-0218,ZCT1W-R8650368,2024-05-10,BATTERY_DEGRADATION,MEDIUM,0.13,0.00,0.25,92,44.4,3.02,1.06
TEL-001369,PLAYER196,CTRL-0219,ZCT2E-S6634235,2024-05-30,BATTERY_DEGRADATION,MEDIUM,0.10,0.00,0.19,94,95.6,3.02,1.06
TEL-001370,PLAYER197,CTRL-0220,ZCT2E-M3967808,2024-05-04,BATTERY_DEGRADATION,MEDIUM,0.34,0.18,0.24,61,97.7,3.02,1.06
TEL-001371,PLAYER197,CTRL-0221,ZCT2E-N5781975,2024-05-24,BATTERY_DEGRADATION,MEDIUM,0.24,0.10,0.10,82,56.4,3.02,1.06
TEL-001372,PLAYER198,CTRL-0222,ZCT2E-V2664720,2024-04-30,NONE,LOW,0.20,0.09,0.07,71,34.8,3.02,1.06
TEL-001373,PLAYER199,CTRL-0223,ZCT1W-V7900127,2024-04-24,NONE,LOW,0.05,0.00,0.03,70,17.7,3.02,1.06
TEL-001374,PLAYER200,CTRL-0224,ZCT2E-S1547533,2024-05-04,RIGHT_STICK_MODULE,MEDIUM,0.60,0.54,0.25,74,104.2,3.02,1.06
TEL-001375,PLAYER201,CTRL-0225,ZCT2E-G4739295,2024-04-12,NONE,LOW,0.06,0.00,0.08,82,80.2,3.02,1.06
TEL-001376,PLAYER202,CTRL-0226,ZCT1W-R3087766,2024-04-16,DISCONNECT_FIRMWARE,MEDIUM,0.22,0.05,0.75,70,21.1,3.00,1.06
TEL-001377,PLAYER203,CTRL-0227,ZCT2E-A7285479,2024-04-21,DISCONNECT_FIRMWARE,MEDIUM,0.25,0.13,0.84,67,32.3,2.98,1.06
TEL-001378,PLAYER204,CTRL-0228,ZCT2E-X5437558,2024-05-19,RIGHT_STICK_MODULE,MEDIUM,0.57,0.40,0.16,71,57.5,3.02,1.06
TEL-001379,PLAYER204,CTRL-0229,ZCT2E-X5052611,2024-04-27,RIGHT_STICK_MODULE,MEDIUM,0.52,0.34,0.14,77,14.0,3.02,1.06
TEL-001380,PLAYER205,CTRL-0230,ZCT1W-A3573211,2024-05-16,RIGHT_STICK_DRIFT,MEDIUM,0.94,0.75,0.15,68,104.1,3.02,1.06
TEL-001381,PLAYER206,CTRL-0231,ZCT2E-L3859017,2024-05-05,DISCONNECT_FIRMWARE,MEDIUM,0.26,0.11,0.86,93,96.8,2.98,1.06
TEL-001382,PLAYER207,CTRL-0232,ZCT2E-G7598776,2024-06-08,NONE,LOW,0.09,0.00,0.05,68,88.9,3.02,1.06
TEL-001383,PLAYER208,CTRL-0233,ZCT2E-F7763214,2024-04-28,RIGHT_STICK_DRIFT,MEDIUM,0.61,0.52,0.18,90,74.4,3.02,1.06
TEL-001384,PLAYER209,CTRL-0234,ZCT2E-H2670640,2024-06-02,NONE,LOW,0.04,0.00,0.08,81,94.2,3.02,1.06
TEL-001385,PLAYER210,CTRL-0235,ZCT1W-W7576872,2024-05-22,RIGHT_STICK_DRIFT,HIGH,0.62,0.52,0.15,87,48.1,3.02,1.06
TEL-001386,PLAYER211,CTRL-0236,ZCT1W-L4418568,2024-06-05,NONE,LOW,0.06,0.00,0.02,88,21.2,3.02,1.06
TEL-001387,PLAYER212,CTRL-0237,ZCT1W-W3567729,2024-04-11,BATTERY_DEGRADATION,MEDIUM,0.35,0.16,0.22,73,16.6,3.02,1.06
TEL-001388,PLAYER213,CTRL-0238,ZCT2E-A3190232,2024-04-15,DISCONNECT_FIRMWARE,MEDIUM,0.14,0.00,0.85,95,114.9,3.00,1.06
TEL-001389,PLAYER214,CTRL-0239,ZCT1W-W4720435,2024-05-26,BATTERY_DEGRADATION,MEDIUM,0.36,0.24,0.10,90,10.5,3.02,1.06
TEL-001390,PLAYER215,CTRL-0240,ZCT1W-N5370124,2024-05-22,BATTERY_DEGRADATION,MEDIUM,0.28,0.09,0.12,90,116.4,3.02,1.06
TEL-001391,PLAYER216,CTRL-0241,ZCT1W-W1388238,2024-05-28,RIGHT_STICK_MODULE,MEDIUM,0.66,0.50,0.10,96,35.8,3.02,1.06
TEL-001392,PLAYER217,CTRL-0242,ZCT2E-V3058301,2024-06-06,NONE,LOW,0.04,0.00,0.08,75,99.7,3.02,1.06
TEL-001393,PLAYER218,CTRL-0243,ZCT1W-C2298244,2024-04-11,RIGHT_STICK_MODULE,MEDIUM,0.62,0.56,0.22,85,70.7,3.02,1.06
TEL-001394,PLAYER219,CTRL-0244,ZCT2E-G7556539,2024-05-03,NONE,LOW,0.08,0.00,0.04,66,92.3,3.02,1.06
TEL-001395,PLAYER220,CTRL-0245,ZCT1W-R2280314,2024-05-21,RIGHT_STICK_DRIFT,HIGH,0.91,0.82,0.16,87,85.7,3.02,1.06
TEL-001396,PLAYER221,CTRL-0246,ZCT2E-W8564486,2024-05-02,RIGHT_STICK_DRIFT,MEDIUM,0.82,0.70,0.14,84,8.6,3.02,1.06
TEL-001397,PLAYER221,CTRL-0247,ZCT1W-F1527651,2024-06-10,RIGHT_STICK_DRIFT,HIGH,0.67,0.48,0.12,91,23.8,3.02,1.06
TEL-001398,PLAYER222,CTRL-0248,ZCT2E-V1084130,2024-05-25,NONE,LOW,0.13,0.04,0.06,75,105.5,3.02,1.06
TEL-001399,PLAYER223,CTRL-0249,ZCT1W-G1495854,2024-05-05,RIGHT_STICK_DRIFT,HIGH,0.82,0.65,0.05,95,111.0,3.02,1.06
TEL-001400,PLAYER224,CTRL-0250,ZCT1W-G7121849,2024-04-29,NONE,LOW,0.18,0.05,0.04,82,31.1,3.02,1.06
TEL-001401,PLAYER225,CTRL-0251,ZCT2E-E4686979,2024-06-09,RIGHT_STICK_DRIFT,MEDIUM,0.67,0.60,0.18,72,9.9,3.02,1.06
TEL-001402,PLAYER226,CTRL-0252,ZCT2E-R4342651,2024-05-11,NONE,LOW,0.16,0.05,0.07,81,54.3,3.02,1.06
TEL-001403,PLAYER227,CTRL-0253,ZCT2E-Q9318172,2024-05-13,DISCONNECT_FIRMWARE,MEDIUM,0.21,0.12,0.78,77,63.0,3.01,1.06
TEL-001404,PLAYER228,CTRL-0254,ZCT1W-J3901779,2024-04-19,NONE,LOW,0.05,0.00,0.07,75,107.7,3.02,1.06
TEL-001405,PLAYER229,CTRL-0255,ZCT2E-D6227531,2024-06-03,NONE,LOW,0.12,0.03,0.02,81,8.5,3.02,1.06
TEL-001406,PLAYER230,CTRL-0256,ZCT2E-P8485284,2024-04-21,NONE,LOW,0.05,0.00,0.12,67,57.2,3.02,1.06
TEL-001407,PLAYER230,CTRL-0257,ZCT2E-V2804542,2024-04-22,NONE,LOW,0.16,0.01,0.11,93,16.1,3.02,1.06
TEL-001408,PLAYER231,CTRL-0258,ZCT2E-M2078208,2024-05-26,NONE,LOW,0.05,0.00,0.05,92,106.3,3.02,1.06
TEL-001409,PLAYER232,CTRL-0259,ZCT2E-U7875441,2024-04-17,NONE,LOW,0.05,0.00,0.10,88,95.7,3.02,1.06
TEL-001410,PLAYER233,CTRL-0260,ZCT2E-A2923507,2024-05-21,RIGHT_STICK_MODULE,MEDIUM,0.55,0.45,0.18,76,36.9,3.02,1.06
TEL-001411,PLAYER233,CTRL-0261,ZCT2E-P4119134,2024-05-28,RIGHT_STICK_MODULE,MEDIUM,0.60,0.47,0.10,73,103.1,3.02,1.06
TEL-001412,PLAYER234,CTRL-0262,ZCT2E-M3433361,2024-05-07,BATTERY_DEGRADATION,MEDIUM,0.25,0.16,0.07,51,40.5,3.02,1.06
TEL-001413,PLAYER234,CTRL-0263,ZCT2E-A6517512,2024-05-12,BATTERY_DEGRADATION,MEDIUM,0.29,0.09,0.13,89,47.7,3.02,1.06
TEL-001414,PLAYER235,CTRL-0264,ZCT1W-T2111241,2024-05-30,NONE,LOW,0.18,0.10,0.01,65,17.7,3.02,1.06
TEL-001415,PLAYER236,CTRL-0265,ZCT1W-D5664879,2024-05-30,DISCONNECT_FIRMWARE,MEDIUM,0.24,0.08,0.51,95,116.5,3.00,1.06
TEL-001416,PLAYER237,CTRL-0266,ZCT2E-X8301537,2024-05-26,RIGHT_STICK_DRIFT,HIGH,0.88,0.73,0.11,86,81.0,3.02,1.06
TEL-001417,PLAYER238,CTRL-0267,ZCT1W-B9286841,2024-06-03,NONE,LOW,0.17,0.06,0.12,81,67.9,3.02,1.06
TEL-001418,PLAYER239,CTRL-0268,ZCT1W-D8596473,2024-04-15,RIGHT_STICK_DRIFT,HIGH,0.93,0.88,0.09,89,29.7,3.02,1.06
TEL-001419,PLAYER240,CTRL-0269,ZCT2E-H1356829,2024-04-11,NONE,LOW,0.18,0.12,0.09,86,109.6,3.02,1.06
TEL-001420,PLAYER241,CTRL-0270,ZCT2E-K3198789,2024-04-12,NONE,LOW,0.13,0.02,0.02,86,37.1,3.02,1.06
TEL-001421,PLAYER242,CTRL-0271,ZCT1W-L1273003,2024-04-10,RIGHT_STICK_DRIFT,HIGH,0.68,0.55,0.17,71,91.5,3.02,1.06
TEL-001422,PLAYER243,CTRL-0272,ZCT2E-K5608257,2024-06-07,RIGHT_STICK_DRIFT,HIGH,0.88,0.81,0.04,80,71.9,3.02,1.06
TEL-001423,PLAYER243,CTRL-0273,ZCT1W-T6254198,2024-05-20,RIGHT_STICK_DRIFT,MEDIUM,0.91,0.77,0.05,76,39.9,3.02,1.06
TEL-001424,PLAYER244,CTRL-0274,ZCT2E-Q9276815,2024-05-27,RIGHT_STICK_DRIFT,MEDIUM,0.75,0.57,0.09,95,92.2,3.02,1.06
TEL-001425,PLAYER244,CTRL-0275,ZCT2E-V2723751,2024-06-07,RIGHT_STICK_DRIFT,HIGH,0.89,0.72,0.15,69,46.4,3.02,1.06
TEL-001426,PLAYER245,CTRL-0276,ZCT1W-E2763884,2024-04-08,NONE,LOW,0.21,0.02,0.03,88,119.6,3.02,1.06
TEL-001427,PLAYER246,CTRL-0277,ZCT1W-C4207127,2024-04-16,RIGHT_STICK_MODULE,MEDIUM,0.64,0.55,0.14,79,82.2,3.02,1.06
TEL-001428,PLAYER247,CTRL-0278,ZCT1W-B5356836,2024-05-14,RIGHT_STICK_DRIFT,MEDIUM,0.84,0.76,0.08,86,99.4,3.02,1.06
TEL-001429,PLAYER248,CTRL-0279,ZCT1W-K2258998,2024-05-05,RIGHT_STICK_DRIFT,HIGH,0.79,0.70,0.17,88,75.9,3.02,1.06
TEL-001430,PLAYER249,CTRL-0280,ZCT1W-E8729158,2024-04-19,NONE,LOW,0.16,0.10,0.11,68,9.4,3.02,1.06
TEL-001431,PLAYER250,CTRL-0281,ZCT1W-U7933921,2024-04-21,RIGHT_STICK_MODULE,MEDIUM,0.49,0.40,0.19,85,58.2,3.02,1.06
TEL-001432,PLAYER251,CTRL-0282,ZCT1W-S9851473,2024-04-17,DISCONNECT_FIRMWARE,MEDIUM,0.27,0.09,0.56,89,113.3,3.00,1.06
TEL-001433,PLAYER251,CTRL-0283,ZCT2E-J6400776,2024-05-16,DISCONNECT_FIRMWARE,MEDIUM,0.22,0.14,0.49,87,79.4,3.00,1.06
TEL-001434,PLAYER252,CTRL-0284,ZCT1W-J5969984,2024-05-09,BATTERY_DEGRADATION,MEDIUM,0.19,0.12,0.14,96,99.1,3.02,1.06
TEL-001435,PLAYER253,CTRL-0285,ZCT1W-X4454281,2024-05-03,DISCONNECT_FIRMWARE,MEDIUM,0.24,0.11,0.67,80,48.2,3.01,1.06
TEL-001436,PLAYER254,CTRL-0286,ZCT1W-G1220253,2024-05-29,NONE,LOW,0.16,0.02,0.09,85,13.4,3.02,1.06
TEL-001437,PLAYER254,CTRL-0287,ZCT2E-G9181335,2024-04-25,NONE,LOW,0.11,0.02,0.06,79,87.6,3.02,1.06
TEL-001438,PLAYER255,CTRL-0288,ZCT2E-K8617224,2024-04-20,DISCONNECT_FIRMWARE,MEDIUM,0.30,0.23,0.60,88,118.3,3.01,1.06
TEL-001439,PLAYER256,CTRL-0289,ZCT1W-H7100930,2024-06-06,NONE,LOW,0.21,0.08,0.10,83,16.2,3.02,1.06
TEL-001440,PLAYER257,CTRL-0290,ZCT1W-N4153336,2024-04-08,RIGHT_STICK_MODULE,MEDIUM,0.60,0.53,0.17,78,16.5,3.02,1.06
TEL-001441,PLAYER258,CTRL-0291,ZCT2E-F6153067,2024-05-29,DISCONNECT_FIRMWARE,MEDIUM,0.13,0.07,0.62,68,73.2,3.01,1.06
TEL-001442,PLAYER259,CTRL-0292,ZCT2E-D2848835,2024-05-08,BATTERY_DEGRADATION,MEDIUM,0.12,0.01,0.19,64,89.9,3.02,1.06
TEL-001443,PLAYER259,CTRL-0293,ZCT2E-A8989988,2024-05-16,BATTERY_DEGRADATION,MEDIUM,0.36,0.17,0.17,87,83.1,3.02,1.06
TEL-001444,PLAYER260,CTRL-0294,ZCT2E-D2410406,2024-05-21,DISCONNECT_FIRMWARE,MEDIUM,0.34,0.14,0.53,86,116.7,3.00,1.06
TEL-001445,PLAYER261,CTRL-0295,ZCT2E-S8228437,2024-06-10,NONE,LOW,0.12,0.00,0.02,93,78.8,3.02,1.06
TEL-001446,PLAYER262,CTRL-0296,ZCT2E-M2641024,2024-05-21,RIGHT_STICK_DRIFT,MEDIUM,0.68,0.61,0.09,88,89.4,3.02,1.06
TEL-001447,PLAYER263,CTRL-0297,ZCT2E-G5932600,2024-04-11,NONE,LOW,0.13,0.06,0.03,80,116.8,3.02,1.06
TEL-001448,PLAYER264,CTRL-0298,ZCT2E-S9281506,2024-04-15,NONE,LOW,0.15,0.03,0.10,66,68.6,3.02,1.06
TEL-001449,PLAYER265,CTRL-0299,ZCT1W-W5176591,2024-05-24,NONE,LOW,0.20,0.07,0.13,72,72.0,3.02,1.06
TEL-001450,PLAYER266,CTRL-0300,ZCT1W-B5465729,2024-05-24,NONE,LOW,0.12,0.01,0.07,91,67.3,3.02,1.06
TEL-001451,PLAYER267,CTRL-0301,ZCT2E-H7787380,2024-04-21,DISCONNECT_FIRMWARE,MEDIUM,0.28,0.20,0.45,96,60.9,2.98,1.06
TEL-001452,PLAYER268,CTRL-0302,ZCT2E-R4451163,2024-04-10,NONE,LOW,0.11,0.00,0.12,89,67.1,3.02,1.06
TEL-001453,PLAYER268,CTRL-0303,ZCT2E-V5831479,2024-05-31,NONE,LOW,0.20,0.09,0.11,90,73.0,3.02,1.06
TEL-001454,PLAYER269,CTRL-0304,ZCT2E-K5003370,2024-04-29,NONE,LOW,0.04,0.00,0.12,87,71.9,3.02,1.06
TEL-001455,PLAYER270,CTRL-0305,ZCT1W-L8637262,2024-05-08,RIGHT_STICK_DRIFT,MEDIUM,0.70,0.54,0.08,86,63.1,3.02,1.06
TEL-001456,PLAYER270,CTRL-0306,ZCT2E-P6604498,2024-05-16,RIGHT_STICK_DRIFT,MEDIUM,0.79,0.65,0.18,76,103.5,3.02,1.06
TEL-001457,PLAYER271,CTRL-0307,ZCT1W-F1163307,2024-05-14,RIGHT_STICK_DRIFT,HIGH,0.84,0.73,0.08,79,55.8,3.02,1.06
TEL-001458,PLAYER272,CTRL-0308,ZCT1W-R5152535,2024-05-28,NONE,LOW,0.10,0.00,0.05,81,64.2,3.02,1.06
TEL-001459,PLAYER273,CTRL-0309,ZCT1W-U5876441,2024-06-04,DISCONNECT_FIRMWARE,MEDIUM,0.35,0.21,0.57,65,111.0,3.00,1.06
TEL-001460,PLAYER274,CTRL-0310,ZCT1W-E2575550,2024-04-13,BATTERY_DEGRADATION,MEDIUM,0.16,0.09,0.13,57,28.8,3.02,1.06
TEL-001461,PLAYER275,CTRL-0311,ZCT2E-M5317440,2024-04-30,NONE,LOW,0.11,0.02,0.15,72,102.7,3.02,1.06
TEL-001462,PLAYER276,CTRL-0312,ZCT2E-A6916088,2024-05-27,NONE,LOW,0.16,0.05,0.14,95,49.6,3.02,1.06
TEL-001463,PLAYER277,CTRL-0313,ZCT2E-D5528798,2024-06-03,RIGHT_STICK_DRIFT,MEDIUM,0.68,0.48,0.03,79,94.8,3.02,1.06
TEL-001464,PLAYER278,CTRL-0314,ZCT2E-H3376209,2024-05-11,NONE,LOW,0.18,0.07,0.02,75,56.5,3.02,1.06
TEL-001465,PLAYER279,CTRL-0315,ZCT2E-M4461265,2024-05-21,RIGHT_STICK_MODULE,MEDIUM,0.49,0.37,0.08,88,49.2,3.02,1.06
TEL-001466,PLAYER280,CTRL-0316,ZCT2E-W2810792,2024-04-24,NONE,LOW,0.10,0.00,0.09,85,74.5,3.02,1.06
TEL-001467,PLAYER281,CTRL-0317,ZCT1W-J6852648,2024-04-11,RIGHT_STICK_MODULE,MEDIUM,0.47,0.29,0.21,92,52.7,3.02,1.06
TEL-001468,PLAYER282,CTRL-0318,ZCT2E-J6189583,2024-05-30,NONE,LOW,0.14,0.07,0.04,78,32.3,3.02,1.06
TEL-001469,PLAYER283,CTRL-0319,ZCT2E-V3062947,2024-05-11,DISCONNECT_FIRMWARE,MEDIUM,0.09,0.00,0.69,70,114.0,3.00,1.06
TEL-001470,PLAYER284,CTRL-0320,ZCT2E-K2848691,2024-05-07,RIGHT_STICK_DRIFT,MEDIUM,0.76,0.64,0.18,70,45.7,3.02,1.06
TEL-001471,PLAYER285,CTRL-0321,ZCT1W-Q3520403,2024-05-04,NONE,LOW,0.05,0.00,0.04,80,93.9,3.02,1.06
TEL-001472,PLAYER286,CTRL-0322,ZCT1W-K9167564,2024-04-14,NONE,LOW,0.03,0.00,0.11,85,36.1,3.02,1.06
TEL-001473,PLAYER287,CTRL-0323,ZCT2E-B4646113,2024-04-12,DISCONNECT_FIRMWARE,MEDIUM,0.11,0.03,0.65,72,93.3,3.00,1.06
TEL-001474,PLAYER288,CTRL-0324,ZCT2E-K1085400,2024-04-23,DISCONNECT_FIRMWARE,MEDIUM,0.24,0.16,0.69,74,52.6,3.01,1.06
TEL-001475,PLAYER289,CTRL-0325,ZCT2E-E6875686,2024-04-18,NONE,LOW,0.05,0.00,0.10,84,9.4,3.02,1.06
TEL-001476,PLAYER290,CTRL-0326,ZCT1W-C5541070,2024-06-06,RIGHT_STICK_MODULE,MEDIUM,0.52,0.39,0.07,87,78.1,3.02,1.06
TEL-001477,PLAYER291,CTRL-0327,ZCT1W-P2354222,2024-04-22,NONE,LOW,0.12,0.00,0.07,82,108.1,3.02,1.06
TEL-001478,PLAYER291,CTRL-0328,ZCT2E-H7480045,2024-05-27,NONE,LOW,0.09,0.00,0.13,74,101.2,3.02,1.06
TEL-001479,PLAYER292,CTRL-0329,ZCT2E-K6213281,2024-04-26,RIGHT_STICK_DRIFT,MEDIUM,0.63,0.51,0.11,86,56.7,3.02,1.06
TEL-001480,PLAYER292,CTRL-0330,ZCT2E-U3334991,2024-04-11,RIGHT_STICK_DRIFT,HIGH,0.71,0.63,0.15,95,116.4,3.02,1.06
TEL-001481,PLAYER293,CTRL-0331,ZCT1W-P4347443,2024-06-01,RIGHT_STICK_DRIFT,MEDIUM,0.78,0.69,0.09,95,66.9,3.02,1.06
TEL-001482,PLAYER294,CTRL-0332,ZCT2E-T4076474,2024-05-05,RIGHT_STICK_DRIFT,MEDIUM,0.82,0.68,0.13,84,76.0,3.02,1.06
TEL-001483,PLAYER295,CTRL-0333,ZCT1W-S8413874,2024-05-05,NONE,LOW,0.16,0.05,0.02,72,18.6,3.02,1.06
TEL-001484,PLAYER296,CTRL-0334,ZCT2E-Q6942386,2024-05-25,DISCONNECT_FIRMWARE,MEDIUM,0.28,0.08,0.82,90,95.3,3.00,1.06
TEL-001485,PLAYER297,CTRL-0335,ZCT2E-Q1464274,2024-04-11,NONE,LOW,0.05,0.00,0.01,92,90.5,3.02,1.06
